No,TMNo,EnNo,Name,GMNo,Mode,IN/OUT,Antipass,DaiGong,DateTime,TR
231,1,3,,1,1,S,0,0,01/09/2023 7:49,Time In
236,1,4,,1,1,S,0,0,01/09/2023 8:49,Time In
238,1,4,,1,1,E,0,0,01/09/2023 12:03,Time Out
239,1,3,,1,1,E,0,0,01/09/2023 12:08,Time Out
242,1,4,,1,1,E,0,0,01/09/2023 12:55,Time Out
243,1,3,,1,1,E,0,0,01/09/2023 12:57,Time Out
245,1,3,,1,1,E,0,0,01/09/2023 17:34,Time Out
248,1,4,,1,1,E,0,0,01/09/2023 18:31,Time Out
249,1,3,,1,1,E,0,0,02/09/2023 6:45,Time Out
250,1,4,,1,1,E,0,0,02/09/2023 7:02,Time Out
3,1,4,,1,1,E,0,0,04/09/2023 12:02,Time Out
6,1,3,,1,1,E,0,0,04/09/2023 12:44,Time Out
7,1,4,,1,1,E,0,0,04/09/2023 12:54,Time Out
9,1,3,,1,1,E,0,0,04/09/2023 13:02,Time Out
14,1,4,,1,1,E,0,0,04/09/2023 17:35,Time Out
15,1,3,,1,1,E,0,0,04/09/2023 18:32,Time Out
24,1,3,,1,1,S,0,0,05/09/2023 8:47,Time In
25,1,4,,1,1,S,0,0,05/09/2023 8:54,Time In
29,1,4,,1,1,E,0,0,05/09/2023 12:04,Time Out
30,1,3,,1,1,E,0,0,05/09/2023 12:06,Time Out
32,1,4,,1,1,E,0,0,05/09/2023 12:52,Time Out
33,1,3,,1,1,E,0,0,05/09/2023 12:57,Time Out
38,1,4,,1,1,E,0,0,05/09/2023 17:35,Time Out
41,1,3,,1,1,E,0,0,05/09/2023 18:31,Time Out
48,1,4,,1,1,S,0,0,06/09/2023 8:25,Time In
53,1,4,,1,1,E,0,0,06/09/2023 12:03,Time Out
54,1,3,,1,1,E,0,0,06/09/2023 12:06,Time Out
57,1,4,,1,1,E,0,0,06/09/2023 12:53,Time Out
58,1,3,,1,1,E,0,0,06/09/2023 12:53,Time Out
63,1,4,,1,1,E,0,0,06/09/2023 17:35,Time Out
68,1,3,,1,1,E,0,0,06/09/2023 18:33,Time Out
75,1,4,,1,1,S,0,0,07/09/2023 8:10,Time In
79,1,3,,1,1,S,0,0,07/09/2023 8:48,Time In
83,1,4,,1,1,E,0,0,07/09/2023 12:03,Time Out
84,1,3,,1,1,E,0,0,07/09/2023 12:17,Time Out
86,1,4,,1,1,E,0,0,07/09/2023 12:55,Time Out
87,1,3,,1,1,E,0,0,07/09/2023 12:58,Time Out
93,1,4,,1,1,E,0,0,07/09/2023 17:36,Time Out
96,1,3,,1,1,E,0,0,07/09/2023 18:37,Time Out
105,1,3,,1,1,S,0,0,08/09/2023 8:33,Time In
106,1,4,,1,1,S,0,0,08/09/2023 9:09,Time In
109,1,4,,1,1,E,0,0,08/09/2023 12:03,Time Out
